0.001	100	t10
0.002	100	t10
0.003	100	t10
0.004	100	t10
0.005	100	t10
0.006	100	t10
0.007	100	t10
0.008	100	t10
0.009	100	t10
0.010	100	t10
0.011	100	t10
0.012	100	t10
0.013	100	t10
0.014	100	t10
0.015	100	t10
0.016	100	t10
0.017	100	t10
0.018	100	t10
0.001	150	t10
0.002	150	t10
0.003	150	t10
0.004	150	t10
0.005	150	t10
0.006	150	t10
0.007	150	t10
0.008	150	t10
0.009	150	t10
0.010	150	t10
0.011	150	t10
0.012	150	t10
0.013	150	t10
0.014	150	t10
0.015	150	t10
0.016	150	t10
0.017	150	t10
0.018	150	t10
0.001	200	t10
0.002	200	t10
0.003	200	t10
0.004	200	t10
0.005	200	t10
0.006	200	t10
0.007	200	t10
0.008	200	t10
0.009	200	t10
0.010	200	t10
0.011	200	t10
0.012	200	t10
0.013	200	t10
0.014	200	t10
0.015	200	t10
0.016	200	t10
0.017	200	t10
0.018	200	t10
0.001	100	t11
0.002	100	t11
0.003	100	t11
0.004	100	t11
0.005	100	t11
0.006	100	t11
0.007	100	t11
0.008	100	t11
0.009	100	t11
0.010	100	t11
0.011	100	t11
0.012	100	t11
0.013	100	t11
0.014	100	t11
0.015	100	t11
0.016	100	t11
0.017	100	t11
0.018	100	t11
0.001	150	t11
0.002	150	t11
0.003	150	t11
0.004	150	t11
0.005	150	t11
0.006	150	t11
0.007	150	t11
0.008	150	t11
0.009	150	t11
0.010	150	t11
0.011	150	t11
0.012	150	t11
0.013	150	t11
0.014	150	t11
0.015	150	t11
0.016	150	t11
0.017	150	t11
0.018	150	t11
0.001	200	t11
0.002	200	t11
0.003	200	t11
0.004	200	t11
0.005	200	t11
0.006	200	t11
0.007	200	t11
0.008	200	t11
0.009	200	t11
0.010	200	t11
0.011	200	t11
0.012	200	t11
0.013	200	t11
0.014	200	t11
0.015	200	t11
0.016	200	t11
0.017	200	t11
0.018	200	t11
0.001	100	t12
0.002	100	t12
0.003	100	t12
0.004	100	t12
0.005	100	t12
0.006	100	t12
0.007	100	t12
0.008	100	t12
0.009	100	t12
0.010	100	t12
0.011	100	t12
0.012	100	t12
0.013	100	t12
0.014	100	t12
0.015	100	t12
0.016	100	t12
0.017	100	t12
0.018	100	t12
0.001	150	t12
0.002	150	t12
0.003	150	t12
0.004	150	t12
0.005	150	t12
0.006	150	t12
0.007	150	t12
0.008	150	t12
0.009	150	t12
0.010	150	t12
0.011	150	t12
0.012	150	t12
0.013	150	t12
0.014	150	t12
0.015	150	t12
0.016	150	t12
0.017	150	t12
0.018	150	t12
0.001	200	t12
0.002	200	t12
0.003	200	t12
0.004	200	t12
0.005	200	t12
0.006	200	t12
0.007	200	t12
0.008	200	t12
0.009	200	t12
0.010	200	t12
0.011	200	t12
0.012	200	t12
0.013	200	t12
0.014	200	t12
0.015	200	t12
0.016	200	t12
0.017	200	t12
0.018	200	t12
0.001	100	t13
0.002	100	t13
0.003	100	t13
0.004	100	t13
0.005	100	t13
0.006	100	t13
0.007	100	t13
0.008	100	t13
0.009	100	t13
0.010	100	t13
0.011	100	t13
0.012	100	t13
0.013	100	t13
0.014	100	t13
0.015	100	t13
0.016	100	t13
0.017	100	t13
0.018	100	t13
0.001	150	t13
0.002	150	t13
0.003	150	t13
0.004	150	t13
0.005	150	t13
0.006	150	t13
0.007	150	t13
0.008	150	t13
0.009	150	t13
0.010	150	t13
0.011	150	t13
0.012	150	t13
0.013	150	t13
