w2:4.3cm;l2:30.3cm;w1:4cm;l1:23.75cm;;;;;;;;;;;;;;;;;
1.27996;;;;;;;;;;;;;;;;;;;;
1.29004;;;;;;;;;;;;;;;;;;;;
1.30001;;;;;;;;;;;;;;;;;;;;
1.31004;;;;;;;;;;;;;;;;;;;;
1.32004;;;;;;;;;;;;;;;;;;;;
1.33005;;;;;;;;;;;;;;;;;;;;
1.34;;;;;;;;;;;;;;;;;;;;
1.35003;;;;;;;;;;;;;;;;;;;;
1.37001;;;;;;;;;;;;;;;;;;;;
1.38003;;;;;;;;;;;;;;;;;;;;
1.39002;;;;;;;;;;;;;;;;;;;;
1.40003;;;;;;;;;;;;;;;;;;;;
1.41004;;;;;;;;;;;;;;;;;;;;
1.42;;;;;;;;;;;;;;;;;;;;
1.43004;;;;;;;;;;;;;;;;;;;;
1.44004;;;;;;;;;;;;;;;;;;;;
1.44997;;;;;;;;;;;;;;;;;;;;
1.45998;;;;;;;;;;;;;;;;;;;;
1.47004;;;;;;;;;;;;;;;;;;;;
1.47997;;;;;;;;;;;;;;;;;;;;
1.49003;;;;;;;;;;;;;;;;;;;;
1.50002;;;;;;;;;;;;;;;;;;;;
1.50998;;;;;;;;;;;;;;;;;;;;
1.52004;;;;;;;;;;;;;;;;;;;;
1.52998;;;;;;;;;;;;;;;;;;;;
1.53995;;;;;;;;;;;;;;;;;;;;
1.55004;;;;;;;;;;;;;;;;;;;;
1.55996;;;;;;;;;;;;;;;;;;;;
1.57001;;;;;;;;;;;;;;;;;;;;
1.58004;;;;;;;;;;;;;;;;;;;;
1.59002;;;;;;;;;;;;;;;;;;;;
1.6;;;;;;;;;;;;;;;;;;;;
1.60998;;;;;;;;;;;;;;;;;;;;
1.62001;;;;;;;;;;;;;;;;;;;;
1.63003;;;;;;;;;;;;;;;;;;;;
1.64002;;;;;;;;;;;;;;;;;;;;
1.64998;;;;;;;;;;;;;;;;;;;;
1.66001;;;;;;;;;;;;;;;;;;;;
1.67001;;;;;;;;;;;;;;;;;;;;
1.68;;;;;;;;;;;;;;;;;;;;
1.69;;;;;;;;;;;;;;;;;;;;
1.70007;;;;;;;;;;;;;;;;;;;;
1.70997;;;;;;;;;;;;;;;;;;;;
1.72;;;;;;;;;;;;;;;;;;;;
1.73003;;;;;;;;;;;;;;;;;;;;
1.74;;;;;;;;;;;;;;;;;;;;
1.75;;;;;;;;;;;;;;;;;;;;
1.75999;;;;;;;;;;;;;;;;;;;;
1.77;;;;;;;;;;;;;;;;;;;;
1.78;;;;;;;;;;;;;;;;;;;;
1.78999;;;;;;;;;;;;;;;;;;;;
1.8;;;;;;;;;;;;;;;;;;;;
1.81;;;;;;;;;;;;;;;;;;;;
1.81999;;;;;;;;;;;;;;;;;;;;
1.82998;;;;;;;;;;;;;;;;;;;;
1.84996;;;;;;;;;;;;;;;;;;;;
